fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,total_sulfur_dioxide,density,pH,sulphates,alcohol,quality
-0.226847,-1.025327,0.132306,-0.425948,-0.553222,1.565698,0.016452,0.020076,-1.171028,-0.574984,0.405771,Good
0.026299,0.074717,1.156903,0.16695,0.061616,0.866467,0.80066,0.49265,1.374831,1.60602,1.140426,Very Bad
-1.347427,0.278654,-0.102381,-0.022815,-0.026804,-0.865823,-0.787799,-0.962979,-1.868099,0.024971,-0.877932,Fair
0.993813,-0.57523,0.174584,0.259236,-0.46709,-1.163986,0.80066,-0.731652,0.313358,-0.409565,-1.224098,Fair
0.724097,-1.517924,-0.668154,-0.72386,-0.350858,-0.746646,0.339306,-1.552931,-1.174912,-1.340244,-1.651174,Very Good
0.677299,0.921844,0.977821,-1.290561,1.587992,1.565698,0.80066,1.068217,0.716182,1.255577,1.170153,Very Bad
-0.103639,2.000238,1.717856,2.059133,0.556831,1.565698,-1.6785,2.981709,0.689308,1.287117,0.828169,Very Bad
-0.519551,1.550568,0.776355,0.66497,1.55383,-0.926755,-0.063348,2.880245,1.420243,1.168115,0.499224,Very Bad
-1.157537,-1.676005,-1.456734,-0.654669,-0.970974,0.580381,0.80066,-1.190479,-1.502705,-1.919117,-0.617626,Very Good
1.97758,-0.479967,-1.917046,0.252823,-0.164019,-0.801794,0.534805,-0.326538,-1.418493,-0.950654,-2.582343,Very Good
0.700645,-1.238402,-1.161736,1.647358,-0.598983,0.239115,0.80066,-1.828311,-1.051282,-1.427941,-1.004863,Very Good
-0.872288,0.550086,0.763238,-0.820257,1.19364,-1.095841,0.80066,-0.965582,-0.033411,0.262817,-0.176082,Bad
-0.083519,-0.2675,-1.281883,0.062264,0.400329,-1.015568,-1.034003,-0.46939,-0.926464,-0.469222,-1.452186,Good
-0.680689,-0.560298,-2.144845,-1.440598,-0.970063,-1.388803,-1.488659,-0.588446,-0.531026,-0.898064,-1.193732,Very Good
0.048515,-0.776889,-1.065751,-0.593291,-1.513236,-0.288767,0.644065,-0.424408,-0.589271,-1.457245,0.897748,Very Good
0.506755,-1.410224,-1.359854,0.460249,-0.108136,-0.828836,0.80066,0.255746,-1.442977,-0.501623,0.047353,Good
0.589731,-0.60615,-1.284148,-1.440598,-1.463717,-0.577312,-0.461004,-1.201304,-0.404591,-0.790702,-1.764711,Very Good
-0.879265,0.165957,0.511501,-0.314784,0.404085,0.336544,0.52364,0.055688,1.10173,-0.02879,0.829573,Fair
0.411599,0.945809,1.412431,0.980068,0.75909,-0.417464,0.80066,1.552742,-0.073551,1.567747,-0.082713,Very Bad
-1.599256,0.674983,1.061624,0.770621,0.391856,1.565698,0.80066,1.337181,0.206217,0.731835,1.664389,Bad
-1.58893,-1.49108,-1.793999,-1.440598,-1.910687,1.565698,0.80066,-1.601967,-0.099812,-1.489273,-1.59427,Very Good
0.841619,-1.37085,-1.551454,0.000042,-0.557669,-1.219238,0.509531,-0.827967,-0.42394,-1.291239,-0.791002,Very Good
-1.244697,-1.112282,-1.799304,0.33301,-1.976201,0.766737,0.80066,-0.528828,-0.871589,-1.47486,0.997281,Very Good
-0.752171,-0.343117,-0.357398,0.052355,0.720024,1.565698,-0.931471,0.099974,0.138089,0.116831,-0.347906,Fair
-0.366217,-1.380859,-0.110556,0.869568,-0.292476,0.905663,0.80066,-1.400444,-2.995016,-1.166274,0.410098,Very Good
0.741305,0.620662,-0.351363,-0.666999,0.215894,0.334004,0.80066,0.003137,0.080433,-0.133419,-0.198529,Fair
-0.636565,0.985221,1.947316,0.471522,1.37565,1.560578,-0.313217,1.34913,1.094965,1.747123,0.839154,Very Bad
-2.062814,-1.450369,-0.62094,-1.440598,-0.731646,-0.91792,0.80066,-1.009255,0.480635,-0.541031,-1.439417,Good
-1.16388,-0.490554,-1.655496,-1.440598,-1.325806,-1.125623,-1.086283,-1.802325,-1.318271,-0.983854,0.157382,Very Good
1.21324,-0.347362,-0.970146,0.665071,-0.774846,1.565698,0.80066,0.945516,0.216593,-0.937587,-0.941212,Good
-0.004299,-0.765988,-1.25685,-0.194532,0.406369,-0.565286,-0.920835,-0.841572,-1.44151,-1.594377,0.595601,Very Good
1.010303,-0.724684,-1.065114,-0.686878,-0.368242,-1.338839,0.201983,0.172729,-0.821524,-0.433679,-0.930108,Good
-1.428181,-0.975375,-1.044355,-1.440598,-2.077166,0.512554,0.80066,-0.802849,-1.530413,-1.198716,-1.18457,Very Good
-1.585666,-0.48723,0.331906,0.833959,-1.113104,-0.479468,0.046904,0.745128,0.507289,0.017091,0.855426,Fair
0.056264,-0.90878,-1.763189,-1.440598,-2.072073,-0.635071,-0.965554,-0.921316,-1.821848,-0.978159,-0.81681,Very Good
0.035184,-1.970483,-1.29026,0.867909,-0.962047,-0.901087,-1.311213,-0.554376,-0.165478,-1.36108,-0.6946,Very Good
0.103735,-1.016976,-1.987212,0.275667,-0.477211,0.595486,0.80066,-1.751974,-1.688656,-0.842965,-1.971854,Very Good
0.593989,-0.693346,-1.217427,-1.440598,-1.150433,0.209927,0.80066,-1.712853,-0.441825,-0.46885,-0.245608,Good
0.05694,-1.643214,-1.975206,-0.116205,0.012512,0.048995,-1.640255,-1.29657,-1.052295,-0.814671,-0.792449,Very Good
0.534515,1.14775,0.573516,2.812763,0.562688,-0.713152,-1.303023,-0.487743,0.664376,0.711737,1.869024,Bad
0.585082,-0.703468,-0.256628,1.190531,-0.235765,1.372233,0.80066,-1.945882,-0.543759,-0.770887,-0.789991,Good
0.160531,-0.213013,-1.671906,-1.078773,-0.646624,-0.871255,-0.722953,-0.769134,-0.627452,-1.361057,-0.556983,Very Good
1.106894,1.282897,1.289341,1.072475,1.536992,-0.919958,0.80066,-0.248634,0.92352,1.049078,1.859324,Very Bad
0.934576,-1.309933,-1.134988,-1.440598,-1.511231,0.39816,-0.489738,-0.31327,-0.719872,-1.152916,-0.824374,Very Good
1.584238,0.456046,0.015839,-1.440598,-1.729112,-1.22015,0.80066,1.002266,-0.357538,-0.002629,0.86479,Fair
-0.880806,-0.19643,-0.160354,-0.229802,-1.052272,-1.085548,0.80066,-1.475892,0.042484,-1.044303,1.362307,Good
0.502753,-0.203283,0.644349,0.512301,-0.780795,-0.980437,0.80066,0.202938,-0.368745,0.050332,-0.057131,Fair
-0.464482,-0.808049,-0.487332,0.69058,-0.219755,-0.58303,-0.160238,0.801599,0.251734,-0.899441,0.809851,Good
-1.140476,-0.903168,-1.508304,0.629322,-0.728781,0.324229,0.80066,-1.315286,-0.945605,-1.481181,-0.391727,Very Good
-1.018003,-0.884012,-2.001876,0.363572,-0.992863,-0.398942,0.80066,-0.541105,-1.425244,-1.212954,-0.078012,Very Good
0.454615,-0.351825,-0.394576,-1.440598,1.297439,0.927815,0.80066,1.667511,-0.07423,-0.342037,0.504464,Fair
0.520024,1.254677,1.183595,-0.111273,0.148887,-0.799045,0.80066,-0.689742,1.247383,0.844131,1.274938,Bad
0.216044,-0.639131,-0.741585,0.973825,-2.232498,-1.603146,-0.8026,-1.186266,-0.062695,-0.202406,0.404036,Good
-0.189196,0.790611,-0.329076,0.511653,0.309692,0.538666,-0.507083,0.392743,-0.23514,0.133978,0.095802,Fair
0.202195,1.522799,1.144707,0.274429,1.751474,0.853596,0.80066,2.497113,1.003726,1.230888,0.425803,Very Bad
0.89687,-0.135846,0.374523,0.400371,0.355238,-0.692528,0.241619,-0.488711,-0.686234,-0.508109,0.389685,Fair
-1.24033,0.76659,0.389587,0.43241,0.025331,-0.208394,0.153881,2.175767,0.874747,0.231626,-0.60016,Bad
0.360838,1.567324,0.450197,-1.440598,1.095085,0.058656,-0.733448,1.091278,2.104123,1.61936,1.471363,Very Bad
-0.227862,-0.637003,-1.262386,0.831215,0.438077,0.265423,0.80066,-2.322094,-1.048971,-1.52029,-0.321084,Very Good
0.947176,0.821005,1.306291,-0.11457,0.370643,0.003496,0.601909,2.084615,1.192145,1.313942,0.896106,Very Bad
-0.933077,1.817066,1.228151,0.849238,0.871979,1.565698,0.80066,0.665641,1.217627,1.336085,0.733582,Very Bad
1.144211,-1.389541,-1.442732,-1.440598,-0.307969,-0.639066,-1.41939,-0.66614,-1.136644,-1.117107,-0.307499,Very Good
0.318491,-0.758778,-0.064779,1.796251,-0.008205,0.407193,0.80066,-1.160959,-0.264369,0.063404,0.639597,Fair
0.205484,-1.062565,-0.524347,-1.440598,-0.659337,-0.479202,-1.674886,-0.993646,0.072176,-0.416525,0.338069,Good
-0.722849,-0.47486,-1.070507,2.498236,-1.164231,-1.58581,0.80066,-2.018137,-2.047804,-1.443261,-0.301087,Very Good
0.247114,-1.003879,-1.65884,2.050172,-0.842431,-0.472526,0.406789,-2.072329,-0.920691,-1.500077,-0.846792,Very Good
-0.13099,-0.991513,-0.999894,-1.440598,0.292966,1.565698,0.695138,0.079891,-0.384144,-0.010672,-0.064024,Fair
1.295413,-0.437224,-0.19007,0.832237,0.281065,-0.300836,0.80066,0.40105,-0.177652,0.438497,0.21662,Fair
-1.126767,1.881302,1.278271,-0.994241,2.336991,-0.70293,-0.955716,0.60413,0.160803,1.663354,1.997082,Very Bad
0.224513,0.25239,0.401779,-0.789866,-0.535599,0.504401,0.80066,-0.495379,1.323811,0.884126,0.450116,Bad
0.124112,-1.759471,-1.124266,-0.954246,0.327592,-0.993437,0.80066,-1.866311,-0.306783,-0.894544,0.277953,Very Good
-0.47179,-1.458197,-1.262039,0.222932,-0.941876,-1.373152,-1.252305,-0.702666,-1.350931,-1.323857,-2.402943,Very Good
-0.056873,1.979916,2.280787,0.543055,1.02188,1.565698,-0.956008,1.061691,1.410312,1.40758,1.285609,Very Bad
-0.512073,0.143898,-1.264506,-1.440598,0.026866,0.268438,0.80066,-0.200655,-1.004957,-0.112328,-0.352763,Good
-0.270304,-1.237418,-1.442799,0.229688,-0.259374,-0.721506,0.80066,0.106543,0.94796,-1.439559,-2.170438,Very Good
-2.062814,0.226268,-0.397882,-0.353746,0.322413,-0.254315,-0.835457,-0.083468,-1.005165,-0.775873,-1.595973,Good
0.739719,-0.674753,-0.882654,-1.440598,0.088808,1.527257,0.80066,-0.686756,-0.198733,-1.545241,-0.603462,Very Good
-0.692742,-1.05664,-0.754584,-0.860081,-0.873768,-0.003597,-0.568553,0.674902,-0.204086,-1.356045,-0.945533,Very Good
0.077809,0.026689,-0.124624,1.812515,1.203182,0.25371,0.80066,-0.168181,-0.553887,-0.021626,0.491433,Fair
0.469967,-0.962507,-0.731749,-0.555702,-0.972795,-0.055891,0.80066,1.164888,-0.748164,-0.670813,-2.50297,Good
-1.023325,-0.170777,-1.82206,-1.440598,-1.264323,0.687341,0.80066,0.013221,-0.721675,-1.001077,-0.154816,Very Good
-0.184616,-0.154575,-0.741446,0.820998,-0.057457,-0.94424,-2.270259,-0.201355,0.866127,-0.021056,1.002848,Fair
-1.960414,0.663541,0.771451,-1.112294,0.30393,0.175283,0.522285,1.030853,1.090066,1.16005,-0.721676,Bad
0.454534,-1.967585,-1.291487,0.022048,-0.920313,0.752885,0.465397,-1.127225,-1.957982,-1.091228,0.266087,Very Good
0.708011,-1.486369,-1.082876,-0.351924,-0.16204,0.059977,0.03226,-1.973324,-1.364534,-1.560318,0.586228,Very Good
-1.997609,-1.142177,-1.382155,1.585185,-0.416495,0.767573,-1.608159,-0.953705,-0.629313,-1.448227,-1.754806,Very Good
-0.226953,1.074847,0.20626,-0.071494,0.030699,1.069864,-0.880325,-0.520307,1.751863,0.617531,0.606261,Bad
-1.40512,-0.109868,-0.212717,-1.343483,-0.876542,-0.942283,0.80066,-0.317573,-0.320634,0.096088,-0.304677,Good
-0.432413,-0.914526,-0.581771,-0.856351,-1.62493,-0.250703,-1.679884,-0.431564,-1.656761,-1.334916,-2.056416,Very Good
0.344997,-1.73077,-1.481813,-1.440598,-0.872549,0.871103,-1.692523,-1.123803,-0.751937,-1.138525,-1.284536,Very Good
1.156415,1.172123,1.408066,-0.203921,-0.28409,-0.220819,0.225967,1.152498,1.318307,1.531727,1.847753,Very Bad
1.09682,-0.363872,0.415536,1.858629,-0.623656,1.249675,0.079178,0.177594,0.07109,0.182259,-0.638731,Fair
1.382658,0.155546,1.063774,1.323555,-0.162169,0.700953,-1.220294,0.584409,-0.797367,0.49156,1.429112,Fair
-0.496177,-2.163159,-0.821179,1.876767,-0.127143,-0.73882,0.653056,-0.92778,-1.566558,-1.280396,-0.487252,Very Good
-1.027786,0.840465,1.051114,0.574427,0.48802,0.566674,0.80066,0.269025,0.936416,0.161068,-0.15538,Bad
-0.052404,0.187514,0.285611,0.127654,0.733575,-1.133278,0.80066,0.552111,0.3731,0.237435,0.081478,Fair
0.312789,-1.632058,-1.876902,-1.312593,-0.816883,0.446084,0.546308,-0.87002,-1.820449,-1.146129,-1.885378,Very Good
-1.550705,-1.561167,-1.52317,0.060578,-1.491852,-1.070081,0.80066,-2.445003,-1.254676,-1.127978,-0.524876,Very Good
1.787608,0.332148,0.233656,-0.299095,-0.330834,-1.11653,0.80066,-0.23427,0.954435,-0.171674,-0.064039,Fair
0.784251,-0.518325,-0.500603,0.674298,-1.25848,1.490508,0.80066,-0.852855,-0.268597,-0.46267,-0.860983,Good
-0.625357,-2.078099,-1.128938,-1.440598,0.506133,-0.152308,-0.348787,-0.857327,-1.38583,-1.376799,-2.081043,Very Good
-0.680092,-0.360788,0.685333,0.181388,0.974781,0.914595,0.80066,0.539943,-0.089083,0.782648,0.484797,Bad
-0.305195,1.585486,1.339113,-1.440598,1.556257,-1.16721,0.243278,-0.384624,0.104015,1.639986,1.049827,Very Bad
0.376529,0.707531,0.197464,0.422234,-0.404261,1.565698,-1.36923,-0.528757,-0.102047,0.896977,-0.603159,Bad
0.039678,0.883758,0.397053,0.69926,0.205172,0.711477,-0.686191,-0.167756,0.42002,0.589715,1.190408,Bad
1.309808,1.134169,1.029896,-1.440598,0.383365,-0.13964,-0.975455,1.019475,1.597558,1.842775,1.040549,Very Bad
-0.762436,-1.381736,-1.336637,-1.440598,-1.034537,1.565698,0.80066,-0.241904,-0.010568,-1.345499,-1.496467,Very Good
0.386097,-0.684117,0.173714,-1.440598,-1.185089,1.260039,0.80066,-1.599831,-0.65235,-0.873514,-0.548146,Good
0.141241,-0.053784,0.373565,-0.125858,-0.229454,1.565698,0.80066,-0.4655,-1.768441,0.039862,0.542658,Fair
0.060524,-0.767917,-1.665322,-1.440598,-1.664703,-1.200158,0.80066,-1.005051,-0.651977,-1.324049,0.082044,Very Good
0.041911,0.993767,1.022478,1.652923,0.761559,-0.997944,-0.481474,0.357912,1.387209,0.777797,2.027068,Very Bad
1.099472,2.043313,2.09338,0.635443,0.912879,-1.144328,0.80066,1.039434,0.173058,1.721804,2.229433,Very Bad
0.626129,0.338424,-0.121513,0.508015,-0.262469,1.270153,0.80066,0.436156,-0.51569,0.131179,-1.065024,Fair
0.559704,1.522058,1.743416,-1.440598,1.706295,-0.984882,0.80066,-0.033323,0.349976,-0.096746,0.082326,Bad
0.234037,-1.057251,-1.639306,1.191609,-0.796067,1.565698,-1.090872,-0.735941,-1.528916,-1.269816,-1.846018,Very Good
-0.773684,0.502333,1.169185,0.763657,-0.125457,1.12659,-2.21267,0.412776,-0.771996,0.554332,1.320905,Bad
0.125899,-0.732148,-1.15054,-1.148012,-0.711969,-0.442716,0.80066,-1.763449,-0.740822,-1.115698,-0.777352,Very Good
0.994786,-1.884039,-1.634216,-1.440598,-1.189361,-0.81757,-1.536636,-1.068913,-1.609182,-1.289293,0.090302,Very Good
0.427857,0.692912,0.112313,-0.193468,-0.448285,1.565698,0.80066,0.322589,-1.557519,0.302572,-1.039029,Fair
-1.059841,-0.078466,1.348471,-0.618556,0.12577,-0.002761,0.80066,1.000457,0.293974,0.08754,-0.492811,Fair
-0.384648,-1.168988,-0.789625,-0.702495,-0.646181,-0.531831,0.80066,0.158141,-0.136514,-1.736399,-1.434621,Very Good
0.315254,-0.104748,0.22201,-0.739974,-0.296525,-1.2107,-2.25132,-0.39795,0.052163,0.186173,0.868017,Fair
-1.031864,-1.051894,-0.540538,0.509909,-1.709735,0.856859,-1.774359,-1.416712,-0.502059,-1.446347,-0.368811,Very Good
-1.767604,-1.573296,-1.192763,-1.440598,-1.133057,-0.939376,0.80066,-0.941587,-1.582243,-1.653011,-2.54809,Very Good
-0.772214,-0.713167,-1.388955,1.199993,-0.656553,-0.900599,-1.542837,-1.348598,-1.745174,-1.180755,-1.185162,Very Good
-0.604647,0.928368,1.891922,1.22092,0.76867,-0.284035,0.80066,1.8313,1.044468,0.980531,1.62003,Very Bad
-0.171369,0.468385,0.6906,0.120899,0.600028,1.565698,-1.156773,0.074492,-0.100618,0.123738,0.630547,Fair
-1.904883,-2.108466,-1.346957,-0.403737,-0.505964,0.44395,0.80066,-0.936352,-2.488561,-1.651154,-0.489948,Very Good
0.31754,-1.390399,-1.962147,0.898854,-1.383984,-1.499064,0.80066,-0.523709,-0.591259,-1.766754,-0.707341,Very Good
-0.637245,-0.250945,-0.701184,-0.210433,0.838559,-0.296245,0.80066,0.13209,0.069812,0.059833,-0.509394,Fair
0.809142,-0.908243,-0.705149,-0.630606,-0.369099,-1.566694,0.80066,-0.772062,-1.215059,-1.846359,0.070355,Very Good
-0.446026,-1.592996,-0.65295,0.867669,0.413631,-0.089848,-0.845543,-0.798955,-0.961977,-1.818393,-1.664263,Very Good
-0.37035,-0.591698,-1.544889,1.934791,0.177292,-1.083128,0.80066,-1.072724,-1.523367,-1.197162,-2.263633,Very Good
-0.419813,-1.739404,-1.66763,-1.294586,-1.664903,-0.539248,-0.605357,-1.5795,-2.244206,-0.855305,-0.574632,Very Good
-1.012745,-1.024559,-0.882595,0.278459,0.255216,1.565698,0.80066,0.725858,-0.289082,-0.965674,-0.804635,Good
2.285956,-0.740822,-1.475902,-1.437836,-0.464308,-0.788123,0.80066,-1.600902,-0.780523,-1.357353,-0.399218,Very Good
-0.632892,0.267079,-0.15993,0.600208,-0.296475,1.565698,0.80066,1.144127,1.27772,0.16194,0.085409,Fair
0.8496,-2.089666,0.018418,-1.040316,-0.368283,-0.411915,0.80066,-0.243254,-0.252664,-1.026508,1.050121,Good
-1.476992,-0.095473,-0.906761,1.103004,-2.201285,-1.513164,0.80066,-1.40925,-0.984856,-1.774037,-0.596002,Very Good
-0.055457,-1.754859,-1.810334,-0.373004,-2.133271,1.565698,-1.435476,-0.597816,0.249224,-1.35799,-0.067832,Very Good
0.216471,-1.650266,-0.792328,-0.025746,-2.203598,1.565698,-1.996134,-0.415947,-1.799824,-1.080579,-1.494569,Very Good
0.15263,1.439682,0.314507,1.601578,0.874903,1.565698,0.80066,1.685887,1.358186,0.057561,1.220951,Bad
-0.89358,-0.769424,-0.798495,-1.116171,-0.693345,-1.523272,-1.212353,-1.891995,0.298416,-1.877016,-1.116802,Very Good
-0.714866,-1.475181,-0.628986,0.528294,-1.548966,-0.149139,-2.179834,-1.070323,-0.412447,-1.064763,-1.259237,Very Good
-0.494947,-1.220202,-0.730566,-1.009703,0.203567,0.220074,-1.103025,-0.018537,-1.253894,-1.408759,-1.453902,Very Good
2.285956,0.187936,1.148611,1.370987,1.133547,-0.366268,0.80066,1.017363,0.308772,0.725249,1.599409,Bad
-0.033387,-2.032092,-1.634718,1.684646,-2.052023,0.041963,-2.019154,-0.655276,-0.453435,-1.44365,-0.982789,Very Good
0.177382,-1.353135,-0.793105,-0.493844,-1.049362,-0.787099,0.80066,0.042572,-1.024312,-1.104461,-1.757054,Very Good
1.661178,-0.972919,-1.385176,-1.440598,-1.721331,-0.989992,-1.507854,-1.106522,-0.248673,-1.142618,-0.182875,Very Good
-1.109408,-1.376772,-1.207421,-1.006229,-0.458772,0.006133,0.80066,-2.629595,-0.514944,-0.892235,-1.185823,Very Good
-0.273829,-0.80274,-1.12006,2.42701,-1.001607,-1.390569,0.80066,-1.226997,-0.990681,-1.962244,-1.425635,Very Good
0.022897,1.487621,0.483493,-0.61469,-0.154326,-0.429862,0.536807,1.90282,0.48217,0.766966,2.627962,Bad
0.170432,1.210217,1.529199,2.067524,2.245887,1.023808,-2.235769,1.198312,2.14214,1.327176,0.022951,Very Bad
-0.505457,-0.888067,-1.811798,-0.84633,-0.928108,-1.486817,0.04454,-1.560156,-1.003509,-1.350835,0.499235,Very Good
-1.10781,-0.233428,0.088424,-0.877502,0.109189,-1.263372,0.80066,0.929937,0.921426,-0.226097,-0.607387,Fair
0.108031,-0.304469,-1.091976,0.691757,-0.692233,0.49311,0.80066,0.114174,-0.721844,-0.608483,0.061893,Good
-1.082004,0.20982,0.106255,0.662368,1.648741,-0.943188,-2.220854,0.609841,-0.264966,-0.002715,0.499567,Bad
0.684151,-1.248574,-1.688803,0.718386,-0.46037,-0.459705,0.80066,-0.568021,-2.229226,-1.532463,-0.223152,Very Good
0.694646,0.505207,0.398932,-0.028009,0.505875,-0.926418,0.80066,-0.220031,0.806568,1.104899,-0.710906,Bad
-0.831599,-2.187433,-1.943504,0.696848,-1.603948,-0.745031,0.80066,-1.243548,-0.591992,-1.594132,-1.965844,Very Good
-0.405354,0.174339,-0.333175,1.03247,-0.628139,0.170524,-0.968001,-0.059296,-0.299365,-0.068033,0.54978,Fair
0.003687,-1.011513,-0.876399,0.972924,-1.436267,-0.946604,0.80066,-0.206301,-0.266768,-1.077177,-2.355248,Very Good
-0.743922,-0.222347,0.385625,-0.730154,0.144396,1.565698,0.80066,-0.37085,-0.897493,-0.361129,-0.83696,Fair
1.724473,-1.177206,-1.567514,0.962602,-0.386188,-0.821862,0.80066,-0.996999,-0.558535,-1.376232,-0.91984,Very Good
0.049681,-1.485385,-1.217348,-0.810226,-1.682891,-0.315063,-1.698339,0.038461,0.36784,-1.792184,-2.026037,Very Good
0.074905,-1.234377,-1.499156,-0.425667,-0.218344,1.565698,0.80066,0.775464,-0.815786,-1.639804,-1.842778,Very Good
1.106347,1.158235,1.743381,-0.077163,0.148215,0.441577,-0.278436,0.374444,0.273606,1.214251,0.649556,Very Bad
-0.191012,1.837251,1.861796,-1.049715,0.519612,0.517184,0.80066,1.091604,1.551821,1.425365,-0.769592,Very Bad
0.92153,-1.486688,-0.861063,-1.440598,-2.101967,0.342248,0.80066,-2.008631,-1.153965,-1.053135,-1.906973,Very Good
0.029431,-1.044423,0.550463,1.400776,-1.012336,0.272709,0.085004,-0.005148,-0.690588,-0.280008,1.268616,Fair
0.744827,-1.250146,-1.007579,-1.059128,-1.597655,0.102152,0.80066,-1.169122,0.133023,-1.459162,-0.008911,Very Good
-0.476367,-0.434684,-1.142341,-0.571106,-0.919332,1.565698,0.80066,-0.099404,-0.39782,-1.472482,0.867314,Very Good
1.628434,-0.164914,1.21568,-0.689359,-0.435521,-1.178131,-1.158355,-0.29837,-0.416252,0.365962,0.849235,Bad
0.073507,-1.707062,-1.611218,-0.651488,-0.05966,1.565698,0.80066,-1.882318,-2.358623,-1.31609,0.050418,Very Good
1.804514,-1.354413,-1.124478,-0.776345,-1.46077,-0.488304,0.80066,0.070662,-0.575829,-1.002286,-1.258188,Very Good
